CSP_1,CSP_2,CSP_3,CSP_4
-0.12758507118824824,1.0175910908086985,0.8377654927242686,-0.7266385829029447
1.2061413647110413,-1.8056499582552779,-1.5064808457383514,-0.7082953005735689
-1.4374813425106199,-0.39409392955086436,0.5492782370350638,-0.6800003543670993
-1.9905111454355346,0.30682325944502975,-0.429692103333225,-1.3298742668907593
-0.7805454088082753,0.31366283743943435,0.4382769654040883,-0.44695676503125126
-2.2464397083729764,1.333418446110972,0.4467250806465828,-1.2118066518630293
-0.18152268062894153,-0.4933759560729599,0.3971292590391987,-0.7017583481939408
-0.6131184373675052,-1.8970851954665604,-1.1174294535429914,-0.04276346172003328
0.17907049454276164,0.12162537877416456,1.8024141204746742,-0.1303647107567595
-0.21951210008638988,-1.7378051617261834,-1.112167366167804,2.26346549401449
0.4488459941203084,-0.5475254921130693,-0.16415507699616982,0.1728735298497086
-2.3751934424298615,0.2946131712067758,-0.7225255707226491,-1.3464964491291052
-0.44485862280576877,-0.12689792337731315,-0.12052654846733654,0.21149233029175823
0.5594768926489547,-1.324774576082519,-1.3825536733786832,-0.019926831362104942
-1.304871142227351,-0.6764753921091403,-1.0753032380804377,-1.0612889731104511
-2.0825468289508633,0.8535316042262577,-0.3562073742519334,-1.559514015998499
-0.6036905628380078,0.10557494081683504,0.37704081410099843,-0.7246956421418553
1.8270548054512263,-1.8737086911265488,-1.2572865632116352,-0.7963300129313967
-0.056870190362770426,-1.0729877028477854,1.1378166070104074,-0.7806904761398059
-1.9179900537140893,0.5672333591769315,-0.15899830516376756,-1.5887023726365461
-1.6503752376318093,0.8379640863713473,0.5564661981642162,-1.029093321479459
-2.240348344959253,-0.18605512160505217,-0.15848460623945845,-1.4579806936870392
-1.3079566961695146,-0.15995938299765436,0.14947443850590733,-0.552845396440384
-0.7280528763077424,-1.8557684397376963,-1.178568563017943,0.5690095144975712
-1.9608793800106417,-0.9613156242254862,0.41682611798621066,-0.6927940798226339
-2.313807615468093,0.48833406452676315,-0.24152498188640523,-1.3165480589703267
-1.338202346637392,-1.0137606383805475,1.3127928688957078,-0.7211435531181021
1.0938297995215027,-1.6138120913001164,-1.5325728303442292,-0.24708623994460688
-1.460069295717509,0.8539185163350089,-0.5091484118930849,-1.177541296702057
-2.111304819393697,-0.2024894803804847,-0.41474723135525693,-1.277199237010974
