Mean,Std,Variance,Median,Skewness,Kurtosis
9.863074656877867e-06,3.85389323709292e-05,1.4852493082910544e-09,9.242424312105868e-06,0.10031319274730027,0.5208621548952173
-7.526556084012451e-07,5.013171741321758e-05,2.5131890907987032e-09,-1.7878787730296608e-06,-0.04737990960252565,0.364356628406481
-8.885381371798759e-06,4.5907209280394595e-05,2.1074718639139473e-09,-1.0121211744262837e-05,0.16249950329532112,0.18526750079326249
-2.2589053381532162e-05,4.8336956026111106e-05,2.336461317870199e-09,-2.390909048699541e-05,0.1036061819092121,-0.35622618962873176
2.922709628228738e-05,5.812422036808631e-05,3.378424993397859e-09,2.1515152184292674e-05,0.20794448459902298,0.013605819015995113
-1.6144539340856166e-05,3.8765006183690474e-05,1.5027257044215605e-09,-1.4484848179563414e-05,-0.13607168940769931,0.933364091192753
-1.2775821105601108e-05,3.8138018467379786e-05,1.4545084526182015e-09,-1.3363636753638275e-05,-0.01968722282472595,0.7490239128871266
0.00013127941484315192,0.00010536553234747485,1.110189540686677e-08,0.0001292424276471138,0.3349334479561567,-0.09582877043990701
2.363606960018183e-06,6.074293937398131e-05,3.689704683791169e-09,-1.7272727745876182e-06,0.6974487692943746,1.928407742381129
8.84608713436439e-05,7.578738421989926e-05,5.7437276068946365e-09,8.666666690260172e-05,0.23344192102038813,-0.91567475119809
4.750432284914784e-06,4.309710097451435e-05,1.8573601124074858e-09,6.090909209888196e-06,-0.10905020843474754,1.2547207837114769
-2.986654210283108e-06,3.7566160410042995e-05,1.4112164079530815e-09,-2.9393938802968478e-06,0.14121353488762295,0.39591996685081465
-1.7573651880440784e-05,4.9282912097305656e-05,2.428805424790756e-09,-1.3863636468158802e-05,0.028217657552720824,0.9026697020590877
1.3532426369130842e-05,4.093610701317536e-05,1.675764857394145e-09,8.818181413516868e-06,0.4941532216915436,0.28816803123442103
-3.0201178144938645e-05,4.2423057475802706e-05,1.79971580559526e-09,-3.063636540900916e-05,0.03416046107477408,-0.494089257227488
-4.282360188115393e-05,4.909707504770472e-05,2.4105227782399495e-09,-3.992424353782553e-05,-0.1579405296903296,-0.20163891652816712
-2.699891775507548e-05,4.640684582676472e-05,2.1535953395891096e-09,-1.8303029719390906e-05,-0.8248377639028478,0.5505529844140202
-8.832991904710567e-08,5.406139784690698e-05,2.9226347371615586e-09,-6.939394097571494e-06,0.7467476752660497,1.3188922901399973
-1.2373314869938916e-05,4.7262510999359054e-05,2.233744945964536e-09,-8.909090865927283e-06,-0.14395877247595687,0.3964489441784007
-1.0204027868917863e-05,4.1921092173766104e-05,1.7573779690413935e-09,-5.818181762151653e-06,-0.33055907917230054,-0.425057993436464
3.306159420040544e-05,4.961880229185597e-05,2.4620255408782913e-09,2.7909090931643732e-05,0.43159624061406,0.10680360508433484
-9.13570782167188e-06,4.925862168116137e-05,2.4264118099277814e-09,-1.0333333193557337e-05,0.23438420997327555,0.13303825723760676
-3.58334715506139e-05,5.0541555557286904e-05,2.554448838150319e-09,-2.595454589027213e-05,-0.6327974082180461,0.658113465589659
1.0095314546788022e-06,3.957555170421467e-05,1.5662242926929687e-09,1.7575757738086395e-06,-0.1784208897325553,0.39244957002429004
1.4167569495821503e-05,4.910923884984805e-05,2.411717340411425e-09,1.678787884884514e-05,-0.04061146176002701,0.10349378992186331
2.584964065301905e-05,3.865787991178213e-05,1.4944316792737681e-09,2.4878787371562794e-05,0.05239691378584712,-0.39454852594798995
-7.70784514751305e-06,3.858659458162231e-05,1.4889252814064844e-09,-8.030303433770314e-06,0.14955852741075737,0.17690123020081394
2.090737047174158e-05,3.720429892446387e-05,1.3841598584608635e-09,1.6181818864424713e-05,0.515159961711328,0.15782089053430992
9.751549817038905e-06,4.398960761452939e-05,1.9350855780802622e-09,5.681818265657057e-06,0.7457534035480715,2.00140927891401
