Mean,Std,Max,Min,PeakToPeak,RMS
9.863074651797477e-06,3.8538932391930986e-05,0.00015693939393939395,-0.0001443333333333333,0.0003012727272727273,3.9781019990653295e-05
-7.526556324110676e-07,5.013171739803928e-05,0.00018345454545454543,-0.00020809090909090907,0.00039154545454545453,5.013736710057554e-05
-8.885381375870505e-06,4.590720930443791e-05,0.0001808181818181818,-0.00020939393939393936,0.0003902121212121212,4.6759190201671976e-05
-2.2589053383210992e-05,4.83369560516492e-05,0.00014036363636363636,-0.0001942121212121212,0.0003345757575757576,5.335472474944109e-05
2.9227096273291924e-05,5.812422030593934e-05,0.00023560606060606058,-0.00019896969696969695,0.00043457575757575753,6.505880526678649e-05
-1.614453933747412e-05,3.876500620438938e-05,0.0002041818181818182,-0.00016624242424242424,0.0003704242424242424,4.1992521434722115e-05
-1.2775821099190663e-05,3.813801844785938e-05,0.00014369696969696968,-0.00022815151515151515,0.00037184848484848486,4.022101510265235e-05
0.00013127941487859967,0.00010536553237858079,0.0005733333333333334,-0.00017875757575757577,0.0007520909090909091,0.00016833353850106416
2.3636069546395634e-06,6.074293938256941e-05,0.000344030303030303,-0.0001755151515151515,0.0005195454545454545,6.078890789174059e-05
8.84608713297572e-05,7.578738421417247e-05,0.00029299999999999997,-9.051515151515151e-05,0.00038351515151515146,0.00011648627971759789
4.7504323122529645e-06,4.309710101681437e-05,0.0002163939393939394,-0.0001758181818181818,0.0003922121212121212,4.3358121767516637e-05
-2.9866541972520235e-06,3.756616039539675e-05,0.00018515151515151516,-0.0001336969696969697,0.00031884848484848487,3.768469862088111e-05
-1.757365189158667e-05,4.928291208968009e-05,0.00027003030303030304,-0.00021963636363636364,0.0004896666666666667,5.232244895688469e-05
1.3532426359872011e-05,4.093610700855775e-05,0.00017748484848484846,-0.0001635151515151515,0.00034099999999999994,4.31148631008084e-05
-3.0201178124411818e-05,4.242305745962301e-05,0.00010072727272727273,-0.0001673636363636364,0.0002680909090909091,5.2075204889898666e-05
-4.282360189629211e-05,4.909707505628146e-05,0.00011912121212121212,-0.00021172727272727272,0.00033084848484848483,6.514893443836399e-05
-2.699891774891775e-05,4.6406845820992783e-05,8.954545454545454e-05,-0.000224,0.00031354545454545453,5.368926241499525e-05
-8.832992188970464e-08,5.406139783794028e-05,0.00025015151515151514,-0.00016593939393939395,0.0004160909090909091,5.406146999820811e-05
-1.2373314864483343e-05,4.726251099700276e-05,0.00016815151515151515,-0.00020809090909090907,0.0003762424242424242,4.885533611057702e-05
-1.0204027856201769e-05,4.1921092185685816e-05,0.00013645454545454545,-0.00015315151515151514,0.0002896060606060606,4.314510580043709e-05
3.306159420289855e-05,4.9618802276964756e-05,0.00022887878787878789,-0.00019027272727272727,0.0004191515151515152,5.962461363092979e-05
-9.135707815734987e-06,4.925862169826981e-05,0.00022454545454545454,-0.00014506060606060605,0.0003696060606060606,5.009863240556311e-05
-3.58334715556183e-05,5.054155557118669e-05,0.00017512121212121212,-0.0002539090909090909,0.000429030303030303,6.195552052305474e-05
1.0095314558629772e-06,3.957555166673715e-05,0.00013775757575757575,-0.00016996969696969697,0.0003077272727272727,3.958842562526273e-05
1.4167569522868434e-05,4.910923886792738e-05,0.00019224242424242425,-0.00014484848484848484,0.00033709090909090906,5.1112008064372305e-05
2.5849640622059103e-05,3.8657879884932e-05,0.00015412121212121213,-9.672727272727273e-05,0.00025084848484848484,4.650414602470878e-05
-7.707845143986449e-06,3.858659458664304e-05,0.00016418181818181817,-0.0001511212121212121,0.0003153030303030303,3.934890288886878e-05
2.090737048277809e-05,3.720429892811172e-05,0.00017618181818181817,-8.396969696969697e-05,0.0002601515151515151,4.267643376896007e-05
9.751549854131373e-06,4.3989607644021805e-05,0.00025412121212121214,-0.00018987878787878786,0.000444,4.5057499988709884e-05
