TD_Mean,TD_Std,TD_Max,TD_Min,TD_PeakToPeak,TD_RMS,FD_MeanSpectrum,FD_MaxSpectrum,FD_DominantFrequencyIndex,STAT_Mean,STAT_Std,STAT_Median,STAT_Skewness,STAT_Kurtosis
9.863074651797477e-06,3.8538932391930986e-05,0.0001569393939393,-0.0001443333333333,0.0003012727272727,3.9781019990653295e-05,0.0002973424220144,0.0080832424242424,0.0,9.863074656877868e-06,3.85389323709292e-05,9.242424312105868e-06,0.1003131927473002,0.5208621548952173
-7.526556324110676e-07,5.013171739803928e-05,0.0001834545454545,-0.0002080909090909,0.0003915454545454,5.013736710057554e-05,0.000353289114587,0.0165346363636363,0.0,-7.526556084012451e-07,5.013171741321758e-05,-1.7878787730296608e-06,-0.0473799096025256,0.364356628406481
-8.885381375870505e-06,4.590720930443791e-05,0.0001808181818181,-0.0002093939393939,0.0003902121212121,4.6759190201671976e-05,0.0003642090843015,0.0057961515151515,1.0,-8.885381371798759e-06,4.5907209280394595e-05,-1.0121211744262835e-05,0.1624995032953211,0.1852675007932624
-2.2589053383210992e-05,4.83369560516492e-05,0.0001403636363636,-0.0001942121212121,0.0003345757575757,5.335472474944109e-05,0.00037687687069,0.0122172121212121,0.0,-2.258905338153216e-05,4.8336956026111106e-05,-2.390909048699541e-05,0.1036061819092121,-0.3562261896287317
2.9227096273291924e-05,5.812422030593934e-05,0.000235606060606,-0.0001989696969696,0.0004345757575757,6.505880526678649e-05,0.000398987023942,0.0094992121212121,0.0,2.922709628228738e-05,5.812422036808631e-05,2.151515218429267e-05,0.2079444845990229,0.0136058190159951
-1.614453933747412e-05,3.876500620438938e-05,0.0002041818181818,-0.0001662424242424,0.0003704242424242,4.199252143472211e-05,0.0003017394145404,0.0079300303030303,0.0,-1.6144539340856166e-05,3.8765006183690474e-05,-1.4484848179563414e-05,-0.1360716894076993,0.933364091192753
-1.2775821099190665e-05,3.813801844785938e-05,0.0001436969696969,-0.0002281515151515,0.0003718484848484,4.022101510265235e-05,0.0003143127570195,0.006691,0.0,-1.2775821105601108e-05,3.8138018467379786e-05,-1.3363636753638277e-05,-0.0196872228247259,0.7490239128871266
0.0001312794148785,0.0001053655323785,0.0005733333333333,-0.0001787575757575,0.0007520909090909,0.000168333538501,0.0007030242774395,0.0364259393939393,0.0,0.0001312794148431,0.0001053655323474,0.0001292424276471,0.3349334479561567,-0.095828770439907
2.3636069546395634e-06,6.074293938256941e-05,0.0003440303030303,-0.0001755151515151,0.0005195454545454,6.078890789174059e-05,0.0003692295623741,0.0094415920148632,1.0,2.363606960018183e-06,6.074293937398131e-05,-1.7272727745876182e-06,0.6974487692943746,1.928407742381129
8.84608713297572e-05,7.578738421417247e-05,0.0002929999999999,-9.051515151515152e-05,0.0003835151515151,0.0001164862797175,0.0005316949181079,0.0207342121212121,0.0,8.84608713436439e-05,7.578738421989926e-05,8.666666690260172e-05,0.2334419210203881,-0.91567475119809
